"ano_semana","tempo","caso","obito","tx_incid","tx_mort","letalidade"
"2022-32",126,778,0,4951.28,0,0
"2022-33",127,595,3,3991.65,1.61,9.68
"2022-34",128,333,0,2240.78,0,0
"2022-35",129,217,1,1009.12,1.9,5.88
"2022-36",130,43,0,246.89,0,0
"2022-37",131,58,0,341.91,0,0
"2022-38",132,40,0,352.45,0,0
"2022-39",133,24,0,141.9,0,0
"2022-40",134,22,0,120.81,0,0
"2022-41",135,15,1,102.69,0.54,100
"2022-42",136,36,0,89.77,0,0
"2022-43",137,13,0,142.84,0,0
"2022-44",138,20,0,147.69,0,0
"2022-45",139,100,0,364.08,0,0
"2022-46",140,464,0,2150.33,0,0
"2022-47",141,1692,0,7624.34,0,0
"2022-48",142,2922,1,14986.67,9.52,33.33
"2022-49",143,4681,4,28183.72,5.18,0.82
"2022-50",144,4969,4,33769.24,13.45,4.09
"2022-51",145,2197,2,18909.96,13.34,3.15
"2022-52",146,1262,2,9686.49,2.44,2.06
"2023-1",147,868,1,7287.19,1.13,1.18
"2023-2",148,437,0,3959.59,0,0
"2023-3",149,244,1,1910.63,19.15,20
"2023-4",150,161,2,1589.17,16.61,75
"2023-5",151,172,0,1662.9,0,0
"2023-6",152,189,0,1524.43,0,0
"2023-7",153,258,0,1626.83,0,0
"2023-8",154,210,2,1379,1.07,13.33
"2023-9",155,174,0,1625.74,0,0
"2023-10",156,156,0,1588.62,0,0
"2023-11",157,317,2,1553.14,18.68,105.88
"2023-12",158,230,0,1360.65,0,0
"2023-13",159,231,1,1000.48,11.88,16.67
